,Name,Household Income,state
0,Alabama,54943.0,01
1,Alaska,80287.0,02
2,Arizona,65913.0,04
3,Arkansas,52123.0,05
4,California,84097.0,06
5,Colorado,80184.0,08
6,Connecticut,83572.0,09
7,Delaware,72724.0,10
8,District of Columbia,93547.0,11
9,Florida,61777.0,12
10,Georgia,65030.0,13
11,Hawaii,88005.0,15
12,Idaho,63377.0,16
13,Illinois,72563.0,17
14,Indiana,61944.0,18
15,Iowa,65429.0,19
16,Kansas,64521.0,20
17,Kentucky,55454.0,21
18,Louisiana,53571.0,22
19,Maine,63182.0,23
20,Maryland,91431.0,24
21,Massachusetts,89026.0,25
22,Michigan,63202.0,26
23,Minnesota,77706.0,27
24,Mississippi,49111.0,28
25,Missouri,61043.0,29
26,Montana,60560.0,30
27,Nebraska,66644.0,31
28,Nevada,65686.0,32
29,New Hampshire,83449.0,33
30,New Jersey,89703.0,34
31,New Mexico,54020.0,35
32,New York,75157.0,36
33,North Carolina,60516.0,37
34,North Dakota,68131.0,38
35,Ohio,61938.0,39
36,Oklahoma,56956.0,40
37,Oregon,70084.0,41
38,Pennsylvania,67587.0,42
39,Rhode Island,74489.0,44
40,South Carolina,58234.0,45
41,South Dakota,63920.0,46
42,Tennessee,58516.0,47
43,Texas,67321.0,48
44,Utah,79133.0,49
45,Vermont,67674.0,50
46,Virginia,80615.0,51
47,Washington,82400.0,53
48,West Virginia,50884.0,54
49,Wisconsin,67080.0,55
50,Wyoming,68002.0,56
51,Puerto Rico,21967.0,72
