,Name,Household Income,state
0,Alabama,50536.0,01
1,Alaska,77640.0,02
2,Arizona,58945.0,04
3,Arkansas,47597.0,05
4,California,75235.0,06
5,Colorado,72331.0,08
6,Delaware,68287.0,10
7,District of Columbia,86420.0,11
8,Connecticut,78444.0,09
9,Florida,55660.0,12
10,Georgia,58700.0,13
11,Idaho,55785.0,16
12,Hawaii,81275.0,15
13,Illinois,65886.0,17
14,Indiana,56303.0,18
15,Iowa,60523.0,19
16,Kansas,59597.0,20
17,Kentucky,50589.0,21
18,Louisiana,49469.0,22
19,Maine,57918.0,23
20,Maryland,84805.0,24
21,Massachusetts,81215.0,25
22,Michigan,57144.0,26
23,Minnesota,71306.0,27
24,Mississippi,45081.0,28
25,Missouri,55461.0,29
26,Montana,54970.0,30
27,Nebraska,61439.0,31
28,Nevada,60365.0,32
29,New Hampshire,76768.0,33
30,New Jersey,82545.0,34
31,New Mexico,49754.0,35
32,New York,68486.0,36
33,North Carolina,54602.0,37
34,North Dakota,64894.0,38
35,Ohio,56602.0,39
36,Oklahoma,52919.0,40
37,Oregon,62818.0,41
38,Pennsylvania,61744.0,42
39,Rhode Island,67167.0,44
40,South Carolina,53199.0,45
41,South Dakota,58275.0,46
42,Tennessee,53320.0,47
43,Texas,61874.0,48
44,Vermont,61973.0,50
45,Utah,71621.0,49
46,Virginia,74222.0,51
47,Washington,73775.0,53
48,West Virginia,46711.0,54
49,Wisconsin,61747.0,55
50,Wyoming,64049.0,56
51,Puerto Rico,20539.0,72
